School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year,NCAABirth,END,Seed
Providence ,29,20,9,0.69,14.87,8.21,2060,1867,,,0.347,0.395,0.555,50.5,63.5,,8.8,0.522,18.9,,0.25,2004,NCAA,Providence ,5
Richmond ,33,20,13,0.606,10.07,5.07,2129,1964,,,0.361,0.339,0.507,50,55.1,,8.3,0.463,17.1,,0.26,2004,NCAA,Richmond ,11
Saint Joseph's ,32,30,2,0.938,20.03,4.97,2476,1994,,,0.337,0.425,0.586,47.3,60,,6.2,0.561,14.9,,0.237,2004,NCAA,Saint Joseph's ,1
Seton Hall ,31,21,10,0.677,14.28,7.78,2228,2028,,,0.346,0.296,0.544,51.7,50.4,,5.3,0.51,16.4,,0.247,2004,NCAA,Seton Hall ,8
South Carolina ,34,23,11,0.676,12.77,5.33,2383,2130,,,0.354,0.355,0.524,49.3,59,,9.3,0.492,16.4,,0.239,2004,NCAA,South Carolina ,10
Southern Illinois ,30,25,5,0.833,10.7,2.64,2131,1889,,,0.304,0.309,0.524,50.5,53.9,,5.9,0.495,15.1,,0.21,2004,NCAA,Southern Illinois ,9
Stanford ,32,30,2,0.938,17.46,4.34,2356,1936,,,0.368,0.262,0.566,55,60.4,,8,0.527,17.9,,0.276,2004,NCAA,Stanford ,1
Syracuse ,31,23,8,0.742,13.06,7.61,2265,2096,,,0.366,0.235,0.528,50.6,54.9,,11.1,0.502,15.6,,0.235,2004,NCAA,Syracuse ,5
Texas-El Paso ,32,24,8,0.75,11.42,3.55,2479,2161,,,0.467,0.293,0.58,49.9,62.7,,4.6,0.533,17.2,,0.351,2004,NCAA,Texas-El Paso ,13
Texas-San Antonio ,33,19,14,0.576,-7.22,-6.11,2400,2367,,,0.409,0.342,0.53,50.6,51.8,,5,0.491,19.9,,0.285,2004,NCAA,Texas-San Antonio ,16
Texas Tech ,34,23,11,0.676,14.71,8.21,2490,2269,,,0.354,0.187,0.537,48.7,54.8,,6.1,0.496,15.5,,0.262,2004,NCAA,Texas Tech ,8
Texas ,33,25,8,0.758,18.52,8.4,2529,2195,,,0.355,0.298,0.529,54.5,49.4,,6.7,0.497,14,,0.241,2004,NCAA,Texas ,3
Utah ,33,24,9,0.727,11.37,4.53,2134,1893,,,0.341,0.31,0.563,56,55.5,,6.7,0.531,19.6,,0.247,2004,NCAA,Utah ,11
Valparaiso ,31,18,13,0.581,-0.09,0.01,2217,2201,,,0.425,0.307,0.53,51.6,62,,5.4,0.487,19.3,,0.3,2004,NCAA,Valparaiso ,15
Vanderbilt ,33,23,10,0.697,15.7,7.58,2414,2146,,,0.352,0.382,0.552,50.4,64.3,,6.2,0.519,16.1,,0.25,2004,NCAA,Vanderbilt ,6
Vermont ,31,22,9,0.71,-2.75,-6.36,2045,1933,,,0.317,0.355,0.511,51.8,60.9,,5.1,0.48,16.2,,0.215,2004,NCAA,Vermont ,15
Virginia Commonwealth ,31,23,8,0.742,6.8,-0.17,2202,1986,,,0.36,0.31,0.551,53.2,50.2,,6.8,0.536,20.3,,0.218,2004,NCAA,Virginia Commonwealth ,13
Wake Forest ,31,21,10,0.677,18.45,11.03,2590,2360,,,0.447,0.33,0.576,52.2,55.2,,5.2,0.539,16.9,,0.318,2004,NCAA,Wake Forest ,4
Washington ,31,19,12,0.613,9.46,6.43,2543,2449,,,0.412,0.298,0.556,49.9,56.3,,4.9,0.518,17.1,,0.294,2004,NCAA,Washington ,8
Western Michigan ,31,26,5,0.839,12.31,-0.11,2434,2049,,,0.397,0.318,0.556,54.2,56.1,,5,0.518,15.8,,0.286,2004,NCAA,Western Michigan ,11
Wisconsin ,32,25,7,0.781,18.96,7.49,2190,1823,,,0.405,0.334,0.544,52,56.4,,5.6,0.503,13.7,,0.292,2004,NCAA,Wisconsin ,6
Xavier ,37,26,11,0.703,13.84,5.84,2635,2339,,,0.378,0.367,0.543,51.6,54.4,,4.2,0.51,15.9,,0.26,2004,NCAA,Xavier ,7
Alabama A&M ,32,18,14,0.563,-11.96,-12.86,2229,2169,,,0.435,0.345,0.486,47,55.9,,6.5,0.453,17.6,,0.267,2005,NCAA,Alabama A&M ,16
Alabama-Birmingham ,33,22,11,0.667,10.42,4.78,2557,2371,,,0.389,0.313,0.541,46.6,57.3,,5.4,0.505,15.8,,0.271,2005,NCAA,Alabama-Birmingham ,11
Alabama ,32,24,8,0.75,16.74,6.81,2426,2083,,,0.432,0.373,0.594,53.9,55.3,,7.5,0.557,16.7,,0.318,2005,NCAA,Alabama ,5
Arizona ,37,30,7,0.811,18,8.03,2948,2579,,,0.309,0.279,0.57,52.9,56.6,,6.6,0.534,17.5,,0.24,2005,NCAA,Arizona ,3
Boston College ,30,25,5,0.833,14.38,6.41,2174,1935,,,0.428,0.293,0.536,53.4,68.6,,7.1,0.493,16.6,,0.305,2005,NCAA,Boston College ,4
Bucknell ,33,23,10,0.697,2.12,-2.19,2097,1946,,,0.424,0.373,0.551,50.3,59.1,,5.8,0.513,21.1,,0.297,2005,NCAA,Bucknell ,14
Central Florida ,33,24,9,0.727,-4.91,-7.78,2304,2152,,,0.382,0.446,0.573,54.2,65.3,,8.2,0.544,19.8,,0.266,2005,NCAA,Central Florida ,15
Charlotte ,29,21,8,0.724,9.63,3.97,2257,2093,,,0.413,0.357,0.534,51,53.6,,5.2,0.497,15.5,,0.282,2005,NCAA,Charlotte ,7
Chattanooga ,31,20,11,0.645,-1.37,-3.59,2253,2034,,,0.418,0.317,0.538,57.5,56.6,,3.4,0.503,20.4,,0.284,2005,NCAA,Chattanooga ,15
Cincinnati ,33,25,8,0.758,17.64,6.74,2505,2130,,,0.457,0.33,0.535,52.9,58.8,,11.2,0.494,15.7,,0.315,2005,NCAA,Cincinnati ,7
Connecticut ,31,23,8,0.742,18.82,7.62,2419,2072,,,0.413,0.26,0.54,57.1,61.6,,13.7,0.502,17.3,,0.289,2005,NCAA,Connecticut ,2
Creighton ,34,23,11,0.676,10.14,3.84,2421,2207,,,0.363,0.388,0.567,47.8,58.7,,6.1,0.533,16.2,,0.265,2005,NCAA,Creighton ,10
Delaware State ,33,19,14,0.576,-6.68,-6.89,2043,2036,,,0.421,0.392,0.537,47,52.6,,5.8,0.488,19.5,,0.313,2005,NCAA,Delaware State ,16
Duke ,33,27,6,0.818,23.01,10.04,2581,2153,,,0.429,0.398,0.56,51.1,49.4,,11,0.521,16.5,,0.305,2005,NCAA,Duke ,1
Eastern Kentucky ,31,22,9,0.71,-2.68,-5.18,2256,2078,,,0.313,0.311,0.554,52.1,56.8,,7.2,0.531,18.1,,0.21,2005,NCAA,Eastern Kentucky ,15
Fairleigh Dickinson ,33,20,13,0.606,-4.13,-6.91,2432,2310,,,0.324,0.317,0.534,50.8,55.7,,7.8,0.508,17,,0.216,2005,NCAA,Fairleigh Dickinson ,16
Florida ,32,24,8,0.75,20.18,7.12,2438,2020,,,0.409,0.358,0.583,54.2,56.3,,8.4,0.552,17.5,,0.289,2005,NCAA,Florida ,4
George Washington ,30,22,8,0.733,10.62,1.05,2308,2021,,,0.396,0.255,0.555,52.2,58.1,,7.6,0.522,17.7,,0.274,2005,NCAA,George Washington ,12
Georgia Tech ,32,20,12,0.625,17.21,9.78,2371,2133,,,0.372,0.304,0.537,51.6,55.5,,8.6,0.503,17.9,,0.257,2005,NCAA,Georgia Tech ,5
Gonzaga ,31,26,5,0.839,13.3,4.37,2454,2159,,,0.468,0.237,0.59,55.8,56.8,,5.8,0.548,16.7,,0.346,2005,NCAA,Gonzaga ,3
Illinois ,39,37,2,0.949,24.1,8.47,3002,2382,,,0.288,0.388,0.585,52.3,66.6,,5.9,0.56,14.3,,0.21,2005,NCAA,Illinois ,1
Iowa State ,31,19,12,0.613,11.37,8.4,2112,2005,,,0.352,0.216,0.504,49.6,56.6,,6.9,0.469,16.2,,0.24,2005,NCAA,Iowa State ,9
Iowa ,33,21,12,0.636,14.97,9.34,2407,2221,,,0.407,0.305,0.551,50.9,59.6,,9.2,0.517,17.9,,0.281,2005,NCAA,Iowa ,10
Kansas ,30,23,7,0.767,20.68,10.85,2251,1956,,,0.385,0.32,0.565,52.4,61.8,,6.7,0.534,17.9,,0.268,2005,NCAA,Kansas ,3
Kentucky ,34,28,6,0.824,19.16,8.1,2503,2127,,,0.375,0.327,0.548,50.9,56.5,,8,0.521,16.3,,0.249,2005,NCAA,Kentucky ,2
Louisiana ,31,20,11,0.645,5.71,1.91,2239,2109,,,0.363,0.334,0.53,52.2,46.6,,5.3,0.502,18.6,,0.239,2005,NCAA,Louisiana ,13
Louisiana State ,30,20,10,0.667,11.6,7.77,2257,2142,,,0.405,0.338,0.56,53.3,57,,7.3,0.52,16.7,,0.296,2005,NCAA,Louisiana State ,6
Louisville ,38,33,5,0.868,22.57,6.18,3066,2436,,,0.436,0.418,0.586,54.1,58.4,,7,0.55,17,,0.315,2005,NCAA,Louisville ,4
Michigan State ,33,26,7,0.788,20.47,7.41,2590,2159,,,0.373,0.328,0.587,55.2,61.8,,5,0.546,17,,0.29,2005,NCAA,Michigan State ,5
Milwaukee ,32,26,6,0.813,10.41,1.44,2400,2059,,,0.364,0.395,0.55,50.7,54.2,,6.5,0.517,16.6,,0.256,2005,NCAA,Milwaukee ,12
Minnesota ,32,21,11,0.656,12.06,6.96,2175,2012,,,0.384,0.285,0.539,52,58.8,,8.5,0.501,20.4,,0.271,2005,NCAA,Minnesota ,8
Mississippi State ,34,23,11,0.676,12.55,6.05,2466,2245,,,0.404,0.301,0.528,55.8,54.6,,5.7,0.495,17.7,,0.269,2005,NCAA,Mississippi State ,9
Montana ,31,18,13,0.581,-3.63,-3.49,2152,2132,,,0.46,0.32,0.55,52.6,57.7,,5.1,0.514,21.2,,0.311,2005,NCAA,Montana ,16
Nevada ,32,25,7,0.781,9.25,3.02,2225,1974,,,0.454,0.186,0.529,55.3,60.7,,8.9,0.482,18.1,,0.321,2005,NCAA,Nevada ,9
New Mexico ,33,26,7,0.788,11.09,1.51,2492,2121,,,0.436,0.397,0.596,51.6,57.4,,6.2,0.571,17.8,,0.296,2005,NCAA,New Mexico ,12
Niagara ,30,20,10,0.667,3.12,-3.08,2537,2351,,,0.413,0.393,0.554,54.7,56.8,,5.4,0.505,14.5,,0.314,2005,NCAA,Niagara ,14
North Carolina State ,35,21,14,0.6,16.16,9.16,2559,2314,,,0.387,0.415,0.564,48.3,60.7,,8.4,0.532,16.1,,0.273,2005,NCAA,North Carolina State ,10
North Carolina ,37,33,4,0.892,28.42,10.66,3257,2600,,,0.442,0.304,0.596,55.1,62.6,,6.2,0.56,17.8,,0.32,2005,NCAA,North Carolina ,1
Northern Iowa ,32,21,11,0.656,10.14,5.31,2311,2127,,,0.318,0.336,0.569,50.8,58,,7.9,0.545,15.5,,0.222,2005,NCAA,Northern Iowa ,11
Oakland ,32,13,19,0.406,-2.66,0.86,2269,2352,,,0.372,0.329,0.534,48.9,58.4,,4.4,0.505,15.5,,0.247,2005,NCAA,Oakland ,16
Ohio ,32,21,11,0.656,5.36,1.8,2288,2174,,,0.479,0.331,0.556,49.6,48.4,,4.9,0.516,17.1,,0.334,2005,NCAA,Ohio ,13
Oklahoma State ,33,26,7,0.788,21.4,9.68,2583,2151,,,0.364,0.308,0.601,54,61,,4.9,0.562,17.4,,0.284,2005,NCAA,Oklahoma State ,2
Oklahoma ,33,25,8,0.758,19.96,8.84,2480,2088,,,0.342,0.302,0.559,53,56.3,,7.7,0.532,16.8,,0.236,2005,NCAA,Oklahoma ,3
Old Dominion ,34,28,6,0.824,5.97,-2.59,2430,2079,,,0.352,0.319,0.532,51.4,63.5,,8.2,0.497,15.4,,0.246,2005,NCAA,Old Dominion ,12
Pacific ,31,27,4,0.871,8.95,1.16,2258,2011,,,0.395,0.329,0.595,54.6,58.2,,5.3,0.56,18.3,,0.293,2005,NCAA,Pacific ,8
Pennsylvania ,29,20,9,0.69,4.71,-1.98,1982,1788,,,0.405,0.356,0.526,53.2,61.4,,6.1,0.494,19.5,,0.267,2005,NCAA,Pennsylvania ,13
Pittsburgh ,29,20,9,0.69,14.53,5.73,2097,1842,,,0.432,0.295,0.555,56.3,59.5,,7.5,0.527,18.2,,0.285,2005,NCAA,Pittsburgh ,9
Saint Mary's (CA) ,34,25,9,0.735,6.68,2.4,2373,2178,,,0.42,0.369,0.544,53,47.9,,5.9,0.501,19.7,,0.304,2005,NCAA,Saint Mary's (CA) ,10
Southeastern Louisiana ,33,24,9,0.727,-0.86,-5.22,2085,1842,,,0.402,0.227,0.527,50.2,50.5,,7.9,0.498,18.9,,0.26,2005,NCAA,Southeastern Louisiana ,15
Southern Illinois ,35,27,8,0.771,11.53,5.12,2365,2123,,,0.27,0.283,0.536,50.3,53.4,,5.8,0.503,16.9,,0.202,2005,NCAA,Southern Illinois ,7
Stanford ,31,18,13,0.581,9.1,8.13,2173,2134,,,0.382,0.204,0.517,50.4,48.2,,4.8,0.47,16.9,,0.282,2005,NCAA,Stanford ,8
Syracuse ,34,27,7,0.794,15.95,6.83,2548,2197,,,0.383,0.255,0.551,52.8,55.5,,8.1,0.524,16.7,,0.256,2005,NCAA,Syracuse ,4
Texas-El Paso ,35,27,8,0.771,9.61,0.91,2616,2278,,,0.391,0.292,0.564,51.1,64.3,,5.4,0.514,15.5,,0.31,2005,NCAA,Texas-El Paso ,11
Texas Tech ,33,22,11,0.667,16.24,9.11,2535,2287,,,0.356,0.187,0.554,49.6,59.3,,6.3,0.513,15.6,,0.269,2005,NCAA,Texas Tech ,6
Texas ,31,20,11,0.645,15.49,7.56,2384,2124,,,0.408,0.35,0.558,53.4,49.8,,7.1,0.524,16.9,,0.285,2005,NCAA,Texas ,8
UCLA ,29,18,11,0.621,9.16,7.09,2138,2078,,,0.383,0.325,0.547,52.9,55.7,,4.3,0.508,19.2,,0.276,2005,NCAA,UCLA ,11
Utah State ,32,24,8,0.75,12.75,-1.47,2315,1848,,,0.382,0.292,0.604,55.4,64.5,,5.3,0.582,17.1,,0.264,2005,NCAA,Utah State ,14
Utah ,35,29,6,0.829,14.01,4.54,2379,2005,,,0.472,0.291,0.597,59.1,61.6,,5.3,0.562,20.2,,0.338,2005,NCAA,Utah ,6
Vermont ,32,25,7,0.781,7.8,-1.95,2299,1987,,,0.314,0.406,0.54,53.7,61.2,,3.1,0.507,15.1,,0.227,2005,NCAA,Vermont ,13
Villanova ,32,24,8,0.75,19.06,8.43,2336,1996,,,0.376,0.34,0.539,52.9,48.1,,10.5,0.496,15.9,,0.277,2005,NCAA,Villanova ,5
Wake Forest ,33,27,6,0.818,20.24,10.27,2801,2441,,,0.461,0.32,0.584,54.9,55,,5.9,0.555,16.8,,0.315,2005,NCAA,Wake Forest ,2
Washington ,35,29,6,0.829,19.77,7.66,3026,2596,,,0.339,0.295,0.574,52.8,59.9,,4.3,0.542,15.9,,0.249,2005,NCAA,Washington ,1
West Virginia ,35,24,11,0.686,11.76,7.62,2501,2356,,,0.311,0.459,0.564,47,66.6,,6.9,0.532,15.7,,0.231,2005,NCAA,West Virginia ,7
Winthrop ,33,27,6,0.818,0.48,-6.65,2245,1961,,,0.421,0.35,0.543,52.4,62.2,,7.5,0.509,18.3,,0.285,2005,NCAA,Winthrop ,14
Wisconsin ,34,25,9,0.735,16.76,9.61,2290,2047,,,0.383,0.358,0.542,52.7,56.3,,3.4,0.51,15.5,,0.259,2005,NCAA,Wisconsin ,6
Air Force ,31,24,7,0.774,10.2,2.49,1990,1695,,,0.331,0.484,0.609,45.7,65.2,,4.7,0.581,17,,0.246,2006,NCAA,Air Force ,13
Alabama-Birmingham ,31,24,7,0.774,9.64,1.57,2306,2035,,,0.374,0.356,0.539,44.2,58.6,,6.6,0.514,15.6,,0.242,2006,NCAA,Alabama-Birmingham ,9
Alabama ,31,18,13,0.581,10.79,8.08,2178,2094,,,0.415,0.304,0.547,53.2,50,,8.3,0.508,17.5,,0.294,2006,NCAA,Alabama ,10
Albany (NY) ,32,21,11,0.656,-0.44,-4.25,2194,2065,,,0.411,0.355,0.553,51.7,54.2,,4.8,0.515,18.5,,0.292,2006,NCAA,Albany (NY) ,16
Arizona ,33,20,13,0.606,15.12,10.09,2433,2267,,,0.327,0.218,0.517,49.8,54.1,,6.9,0.481,15.7,,0.232,2006,NCAA,Arizona ,8
Arkansas ,32,22,10,0.688,15.01,6.17,2359,2076,,,0.392,0.29,0.541,50.2,58.9,,10.7,0.507,16.4,,0.271,2006,NCAA,Arkansas ,8
Belmont ,31,20,11,0.645,-3.53,-6.72,2499,2356,,,0.353,0.38,0.588,50.3,57.7,,5.9,0.565,19.1,,0.244,2006,NCAA,Belmont ,15
Boston College ,36,28,8,0.778,13.79,6.1,2671,2383,,,0.425,0.299,0.567,52.8,67.3,,7.9,0.539,16.7,,0.287,2006,NCAA,Boston College ,4
Bradley ,33,22,11,0.667,11.78,5.38,2359,2148,,,0.345,0.285,0.524,52,62.9,,8.2,0.487,18.1,,0.247,2006,NCAA,Bradley ,13
Bucknell ,32,27,5,0.844,7.29,-2.29,2114,1785,,,0.429,0.322,0.563,52.4,62.9,,3.6,0.528,20.2,,0.299,2006,NCAA,Bucknell ,9
University of California ,31,20,11,0.645,12.31,8.84,2128,2000,,,0.448,0.283,0.549,51.2,56.1,,5,0.502,16.5,,0.329,2006,NCAA,University of California ,7
Connecticut ,34,30,4,0.882,21.22,6.57,2781,2283,,,0.419,0.246,0.556,56.1,54.8,,13.5,0.518,16.3,,0.295,2006,NCAA,Connecticut ,1
Davidson ,31,20,11,0.645,1.89,-3.04,2403,2137,,,0.29,0.398,0.56,54.1,66.3,,2.8,0.527,15.7,,0.221,2006,NCAA,Davidson ,15
Duke ,36,32,4,0.889,21.77,8.77,2921,2453,,,0.45,0.353,0.598,48.1,55.8,,9.1,0.555,16.9,,0.343,2006,NCAA,Duke ,1
Florida ,39,33,6,0.846,20.21,5.49,3052,2478,,,0.407,0.348,0.603,52.7,61.3,,9.1,0.569,18.2,,0.302,2006,NCAA,Florida ,3
George Mason ,35,27,8,0.771,12.11,2.77,2429,2102,,,0.347,0.311,0.56,51.5,56.5,,6.3,0.537,17.1,,0.23,2006,NCAA,George Mason ,11
George Washington ,30,27,3,0.9,9.63,-0.33,2360,2026,,,0.416,0.282,0.543,52.4,60.5,,8,0.516,16.2,,0.269,2006,NCAA,George Washington ,8
Georgetown ,33,23,10,0.697,13.98,6.92,2177,1944,,,0.32,0.373,0.562,53.1,65.3,,7,0.534,16.4,,0.226,2006,NCAA,Georgetown ,7
Gonzaga ,33,29,4,0.879,12.32,5.02,2643,2402,,,0.454,0.266,0.579,52.5,51.2,,4.7,0.526,16,,0.355,2006,NCAA,Gonzaga ,3
Hampton ,32,16,16,0.5,-10.17,-12.56,2120,2047,,,0.368,0.305,0.49,53,51.2,,5.9,0.462,19.3,,0.228,2006,NCAA,Hampton ,16
Illinois ,33,26,7,0.788,17.2,6.29,2311,1937,,,0.314,0.36,0.543,54.5,59,,4.8,0.523,16,,0.202,2006,NCAA,Illinois ,4
Indiana ,31,19,12,0.613,12.1,7.36,2231,2084,,,0.302,0.404,0.564,50.8,58.5,,4.2,0.54,18.4,,0.209,2006,NCAA,Indiana ,6
Iona ,31,23,8,0.742,6.86,-0.78,2475,2238,,,0.408,0.266,0.565,51.7,54.6,,7,0.534,17.6,,0.282,2006,NCAA,Iona ,13
Iowa ,34,25,9,0.735,14.18,6.8,2254,2003,,,0.39,0.315,0.525,52.4,64.3,,8.7,0.484,19.1,,0.277,2006,NCAA,Iowa ,3
Kansas ,33,25,8,0.758,20.02,7.6,2480,2024,,,0.349,0.28,0.553,53.6,64.6,,9.8,0.528,18.7,,0.235,2006,NCAA,Kansas ,4
Kent State ,34,25,9,0.735,6.27,0,2458,2239,,,0.395,0.35,0.548,52,53.6,,4.8,0.51,16.8,,0.282,2006,NCAA,Kent State ,12
Kentucky ,35,22,13,0.629,13.12,8.88,2477,2316,,,0.298,0.375,0.537,52.1,54.8,,5.4,0.513,16.8,,0.201,2006,NCAA,Kentucky ,8
Louisiana State ,36,27,9,0.75,17.54,8.77,2633,2299,,,0.376,0.217,0.534,55.4,56.3,,11,0.5,18.4,,0.259,2006,NCAA,Louisiana State ,4
Marquette ,31,20,11,0.645,11.33,8.16,2325,2150,,,0.301,0.364,0.558,49.9,58.1,,5.1,0.527,18,,0.221,2006,NCAA,Marquette ,7
Memphis ,37,33,4,0.892,18.81,4.24,2961,2422,,,0.394,0.342,0.544,54.4,54.7,,11.2,0.512,17.5,,0.269,2006,NCAA,Memphis ,1
Michigan State ,34,22,12,0.647,12.24,7.27,2520,2334,,,0.362,0.287,0.572,53.9,63.3,,5.3,0.531,17.8,,0.279,2006,NCAA,Michigan State ,6
Milwaukee ,31,22,9,0.71,7.65,1.47,2294,2061,,,0.392,0.332,0.528,54.1,48.8,,5.4,0.491,16.2,,0.271,2006,NCAA,Milwaukee ,11
Monmouth ,34,19,15,0.559,-2.99,-4.05,2191,2155,,,0.334,0.361,0.53,47,63.8,,6.4,0.502,19.8,,0.224,2006,NCAA,Monmouth ,16
Montana ,31,24,7,0.774,4.86,-0.96,2449,2202,,,0.367,0.331,0.586,52.4,64.5,,5.4,0.556,17.1,,0.263,2006,NCAA,Montana ,12
Murray State ,31,24,7,0.774,4.16,-5.07,2203,1901,,,0.305,0.363,0.536,52,60,,8.9,0.514,15.8,,0.199,2006,NCAA,Murray State ,14
Nevada ,33,27,6,0.818,10.16,2.26,2401,2103,,,0.359,0.261,0.54,53,59.4,,8.3,0.503,16.1,,0.258,2006,NCAA,Nevada ,5
North Carolina State ,32,22,10,0.688,12.7,5.63,2383,2157,,,0.398,0.456,0.588,47.8,63.1,,8.1,0.55,17.6,,0.299,2006,NCAA,North Carolina State ,10
North Carolina-Wilmington ,33,25,8,0.758,8.9,0.57,2250,1975,,,0.322,0.342,0.523,51.4,62.7,,3.3,0.49,16.1,,0.225,2006,NCAA,North Carolina-Wilmington ,9
North Carolina ,31,23,8,0.742,18.48,7.77,2460,2128,,,0.405,0.317,0.57,55.6,64,,6.7,0.536,19.2,,0.287,2006,NCAA,North Carolina ,3
Northern Iowa ,33,23,10,0.697,11.55,5.13,2165,1907,,,0.366,0.386,0.555,51.1,58.2,,6.9,0.52,17.1,,0.264,2006,NCAA,Northern Iowa ,10
Northwestern State ,34,26,8,0.765,4.01,-1.38,2573,2365,,,0.393,0.311,0.547,51.2,64.4,,6,0.518,18.5,,0.262,2006,NCAA,Northwestern State ,14
Ohio State ,32,26,6,0.813,16.08,5.9,2363,2037,,,0.338,0.401,0.568,49.5,58.9,,4.7,0.538,15.4,,0.243,2006,NCAA,Ohio State ,2
Oklahoma ,29,20,9,0.69,11.89,6.79,1995,1847,,,0.344,0.306,0.541,56.9,59.1,,6.8,0.506,18.2,,0.245,2006,NCAA,Oklahoma ,6
Oral Roberts ,33,21,12,0.636,3.23,-2.35,2472,2248,,,0.391,0.297,0.554,53.4,61,,7.5,0.518,17.5,,0.277,2006,NCAA,Oral Roberts ,16
Pacific ,32,24,8,0.75,6.93,-1.57,2377,2047,,,0.339,0.314,0.581,52.8,59.9,,3.7,0.548,17,,0.253,2006,NCAA,Pacific ,13
Pennsylvania ,29,20,9,0.69,6.01,-2.31,1987,1744,,,0.345,0.381,0.535,48.6,58.2,,5.4,0.507,17.1,,0.233,2006,NCAA,Pennsylvania ,15
Pittsburgh ,33,25,8,0.758,16.37,7.01,2391,2082,,,0.396,0.318,0.546,55.4,64.4,,6.9,0.512,17.1,,0.274,2006,NCAA,Pittsburgh ,5
San Diego State ,33,24,9,0.727,9.81,3.65,2456,2223,,,0.421,0.305,0.561,52.9,51.5,,5.3,0.521,18.5,,0.306,2006,NCAA,San Diego State ,11
Seton Hall ,30,18,12,0.6,6.78,6.11,2033,2013,,,0.377,0.308,0.51,51.4,53.9,,4.9,0.461,16.8,,0.281,2006,NCAA,Seton Hall ,10
South Alabama ,31,24,7,0.774,4.88,-2.18,2283,2033,,,0.341,0.414,0.558,50.2,54.7,,2.6,0.529,16.9,,0.24,2006,NCAA,South Alabama ,14
Southern Illinois ,33,22,11,0.667,8.93,4.62,1994,1864,,,0.338,0.32,0.501,50.7,57.1,,7,0.466,19.2,,0.232,2006,NCAA,Southern Illinois ,11
Southern ,33,20,13,0.606,-5.97,-6.69,2093,2070,,,0.323,0.249,0.505,52.2,49.7,,6.6,0.478,21.3,,0.209,2006,NCAA,Southern ,16
Syracuse ,35,23,12,0.657,11.68,8.16,2535,2412,,,0.335,0.368,0.525,50.4,59.3,,10.8,0.501,18.1,,0.216,2006,NCAA,Syracuse ,5
Tennessee ,30,22,8,0.733,14.73,7.76,2413,2204,,,0.332,0.369,0.563,48,59.3,,5.7,0.535,15.3,,0.233,2006,NCAA,Tennessee ,2
Texas A&M ,31,22,9,0.71,13.19,4.77,2130,1869,,,0.431,0.346,0.543,49.4,70.2,,6.4,0.508,17.5,,0.293,2006,NCAA,Texas A&M ,12
Texas ,37,30,7,0.811,21.89,6.99,2781,2230,,,0.352,0.339,0.559,57.5,55.8,,8.9,0.524,16.7,,0.256,2006,NCAA,Texas ,2
UCLA ,39,32,7,0.821,17.34,8.27,2642,2288,,,0.384,0.343,0.562,53.6,57.6,,5.5,0.532,19.3,,0.266,2006,NCAA,UCLA ,2
Utah State ,32,23,9,0.719,7.76,1.79,2307,2070,,,0.298,0.338,0.59,52,64.7,,5,0.565,17.7,,0.215,2006,NCAA,Utah State ,12
Villanova ,33,28,5,0.848,19.51,9.23,2449,2107,,,0.369,0.396,0.536,50.7,49.8,,9,0.491,13.9,,0.28,2006,NCAA,Villanova ,1
Washington ,33,26,7,0.788,18.08,5.96,2706,2306,,,0.334,0.288,0.56,54.3,53.9,,6.1,0.523,16.7,,0.25,2006,NCAA,Washington ,5
West Virginia ,33,22,11,0.667,14.51,8.54,2334,2093,,,0.234,0.516,0.56,42.4,69,,5.1,0.535,12.1,,0.174,2006,NCAA,West Virginia ,6
Wichita State ,35,26,9,0.743,11.45,4.72,2422,2165,,,0.368,0.341,0.542,54,62.2,,3.3,0.503,16.7,,0.266,2006,NCAA,Wichita State ,7
Winthrop ,31,23,8,0.742,6.28,-4.93,2276,1897,,,0.402,0.379,0.551,54,63,,6.3,0.517,17.5,,0.278,2006,NCAA,Winthrop ,15
Wisconsin ,31,19,12,0.613,13.14,7.24,2205,2035,,,0.381,0.319,0.52,51.2,54.3,,6,0.487,14.5,,0.253,2006,NCAA,Wisconsin ,9
Xavier ,32,21,11,0.656,10.11,1.99,2290,2030,,,0.423,0.349,0.566,51.8,64.5,,8.5,0.526,16.8,,0.306,2006,NCAA,Xavier ,14
Albany (NY) ,33,23,10,0.697,-1.6,-4.75,2241,2147,,,0.329,0.344,0.55,52.2,54.6,,4.8,0.517,17.7,,0.237,2007,NCAA,Albany (NY) ,13
Arizona ,31,20,11,0.645,16.24,10.76,2417,2247,,,0.416,0.285,0.57,54.1,60.4,,5.3,0.527,16.8,,0.312,2007,NCAA,Arizona ,8
Arkansas ,35,21,14,0.6,13.77,8.75,2487,2311,,,0.382,0.321,0.551,51.8,59.1,,11,0.517,19.1,,0.269,2007,NCAA,Arkansas ,12
Belmont ,33,23,10,0.697,-0.39,-4.71,2390,2128,,,0.32,0.442,0.565,51.9,60.5,,5.5,0.54,20,,0.221,2007,NCAA,Belmont ,15
Boston College ,33,21,12,0.636,13.76,9.21,2453,2303,,,0.449,0.319,0.573,51.2,57.4,,9.6,0.533,17.5,,0.325,2007,NCAA,Boston College ,7
Brigham Young ,34,25,9,0.735,11.38,3.95,2654,2347,,,0.347,0.311,0.575,54.5,55.8,,6.2,0.555,16.5,,0.229,2007,NCAA,Brigham Young ,8
